item, sku, size, order_num, date_of_purchase, purchase_price, status, status_update_date
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6Y, 31986705-31886464, Not Set, 106.14, Order Confirmed, Sat 01 Jan 2022 - 09:23:20 AM
Jordan 5 Retro White Stealth (2021), DD0587-140, 10, 31986711-31886470, Not Set, 222.60, Order Confirmed, Sat 01 Jan 2022 - 09:23:45 AM
Jordan 1 Mid Arctic Orange Black Toe (GS), 554725-133, 6.5Y, 31989347-31889106, Not Set, 196.34, Order Confirmed, Sat 01 Jan 2022 - 11:48:48 AM
Jordan 1 Mid Arctic Orange Black Toe (GS), 554725-133, 6.5Y, 31989456-31889215, Not Set, 199.49, Order Confirmed, Sat 01 Jan 2022 - 11:53:57 AM
Jordan 13 Retro Gym Red Flint Grey (GS), 884129-600, 7Y, 31990959-31890718, Not Set, 145.14, Order Confirmed, Sat 01 Jan 2022 - 12:52:28 PM
Jordan 12 Retro Arctic Punch (GS), 510815-101, 7Y, 31991026-31890785, Not Set, 120.14, Order Confirmed, Sat 01 Jan 2022 - 12:54:33 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31992935-31892694, Not Set, 132.14, Order Confirmed, Sat 01 Jan 2022 - 01:54:31 PM
Jordan 1 Mid Arctic Orange Black Toe (GS), 554725-133, 6.5Y, 31994493-31894252, Not Set, 196.34, Order Confirmed, Sat 01 Jan 2022 - 02:46:42 PM
Jordan 1 Mid Gym Red Black White (GS), DJ4695-122, 7Y, 32001255-31901014, Not Set, 185.84, Order Confirmed, Sat 01 Jan 2022 - 06:38:23 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 7Y, 31974885-31874644, Not Set, 109.14, Shipped To StockX, Sat 01 Jan 2022 - 06:57:14 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31992935-31892694, Not Set, 132.14, Shipped To StockX, Sat 01 Jan 2022 - 07:54:04 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 32007620-31907379, Not Set, 109.14, Order Confirmed, Sat 01 Jan 2022 - 10:41:07 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6Y, 31804887-31704646, Not Set, 131.14, Verified & Shipped, Fri 31 Dec 2021 - 12:01:38 AM
Jordan 1 Low Green Toe (GS), 553560-371, 6.5Y, 31889271-31789030, Not Set, 136.14, Verified & Shipped, Fri 31 Dec 2021 - 12:09:24 AM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 10.5, 31761599-31661358, Not Set, 213.26, Verified & Shipped, Fri 31 Dec 2021 - 12:20:06 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 31946367-31846126, Not Set, 107.14, Order Confirmed, Fri 31 Dec 2021 - 01:23:07 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 7Y, 31946379-31846138, Not Set, 106.14, Order Confirmed, Fri 31 Dec 2021 - 01:23:27 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 31946383-31846142, Not Set, 107.14, Order Confirmed, Fri 31 Dec 2021 - 01:23:50 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 31946388-31846147, Not Set, 107.14, Order Confirmed, Fri 31 Dec 2021 - 01:24:07 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 7Y, 31946392-31846151, Not Set, 108.14, Order Confirmed, Fri 31 Dec 2021 - 01:24:30 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 5.5Y, 31946402-31846161, Not Set, 108.14, Order Confirmed, Fri 31 Dec 2021 - 01:24:57 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 5.5Y, 31946412-31846171, Not Set, 108.14, Order Confirmed, Fri 31 Dec 2021 - 01:25:15 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 5.5Y, 31946418-31846177, Not Set, 108.14, Order Confirmed, Fri 31 Dec 2021 - 01:25:35 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 31946431-31846190, Not Set, 109.14, Order Confirmed, Fri 31 Dec 2021 - 01:26:18 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 5.5Y, 31946439-31846198, Not Set, 108.14, Order Confirmed, Fri 31 Dec 2021 - 01:26:44 AM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 5.5Y, 31946448-31846207, Not Set, 108.14, Order Confirmed, Fri 31 Dec 2021 - 01:27:01 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 10, 31788545-31688304, Not Set, 168.26, Arrived At StockX, Fri 31 Dec 2021 - 03:45:42 AM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 8.5, 31885412-31785171, Not Set, 181.18, Shipped To StockX, Fri 31 Dec 2021 - 04:17:22 AM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 8.5, 31885412-31785171, Not Set, 181.18, Shipped To StockX, Fri 31 Dec 2021 - 04:17:23 AM
adidas Yeezy 700 V3 Copper Fade, GY4109, 9.5, 31949708-31849467, Not Set, 156.34, Order Confirmed, Fri 31 Dec 2021 - 04:41:26 AM
Jordan 1 Mid Tropical Twist Igloo (GS), 554725-132, 5.5Y, 31778241-31678000, Not Set, 152.24, Arrived At StockX, Fri 31 Dec 2021 - 07:02:06 AM
Jordan 1 Low Bred Toe, 553558-612, 12, 31952112-31851871, Not Set, 177.66, Order Confirmed, Fri 31 Dec 2021 - 07:26:19 AM
Jordan 1 Low Bred Toe (GS), 553560-612, 7Y, 31952129-31851888, Not Set, 135.14, Order Confirmed, Fri 31 Dec 2021 - 07:27:05 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 9, 31794072-31693831, Not Set, 160.94, Arrived At StockX, Fri 31 Dec 2021 - 09:25:45 AM
Jordan 13 Retro Obsidian Powder Blue White, 414571-144, 11.5, 31800106-31699865, Not Set, 188.42, Arrived At StockX, Fri 31 Dec 2021 - 09:58:05 AM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 10, 31485717-31385476, Not Set, 164.14, Arrived At StockX, Fri 31 Dec 2021 - 10:02:37 AM
Jordan 1 Low Bred Toe (GS), 553560-612, 7Y, 31956576-31856335, Not Set, 133.14, Order Confirmed, Fri 31 Dec 2021 - 10:51:16 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 8, 31899493-31799252, Not Set, 182.89, Shipped To StockX, Fri 31 Dec 2021 - 11:00:56 AM
Jordan 1 Mid White Pollen Black (GS), 554725-177, 5.5Y, 31958423-31858182, Not Set, 124.14, Order Confirmed, Fri 31 Dec 2021 - 11:50:49 AM
adidas Yeezy 700 V3 Copper Fade, GY4109, 9.5, 31949708-31849467, Not Set, 156.34, Shipped To StockX, Fri 31 Dec 2021 - 11:51:24 AM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 6, 31960052-31859811, Not Set, 205.88, Order Confirmed, Fri 31 Dec 2021 - 12:41:17 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 31946383-31846142, Not Set, 107.14, Shipped To StockX, Fri 31 Dec 2021 - 01:05:38 PM
Jordan 14 Retro Winterized Archaeo Brown, DO9406-200, 11.5, 31602695-31502454, Not Set, 212.23, Shipped To StockX, Fri 31 Dec 2021 - 01:20:54 PM
Jordan 1 Mid Triple White 2.0 (2020), 554724-130, 10, 31422150-31321909, Not Set, 162.74, Delivered, Fri 31 Dec 2021 - 01:28:09 PM
Jordan 1 Mid Triple White 2.0 (2020), 554724-130, 11, 31344464-31244223, Not Set, 162.74, Delivered, Fri 31 Dec 2021 - 01:29:14 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 14, 31482602-31382361, Not Set, 187.53, Delivered, Fri 31 Dec 2021 - 02:01:50 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 31946388-31846147, Not Set, 107.14, Shipped To StockX, Fri 31 Dec 2021 - 02:35:55 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 31942093-31841852, Not Set, 104.14, Shipped To StockX, Fri 31 Dec 2021 - 02:47:16 PM
Jordan 1 Low Green Toe (GS), 553560-371, 7Y, 31925290-31825049, Not Set, 131.14, Shipped To StockX, Fri 31 Dec 2021 - 02:51:18 PM
adidas Yeezy Slide Pure (First Release), GZ5554, 12, 31964718-31864477, Not Set, 247.79, Order Confirmed, Fri 31 Dec 2021 - 02:56:29 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 7Y, 31884349-31784108, Not Set, 134.14, Shipped To StockX, Fri 31 Dec 2021 - 03:21:50 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 10, 31788545-31688304, Not Set, 168.26, Verified & Shipped, Fri 31 Dec 2021 - 04:02:15 PM
Jordan 1 Low Mocha, DC6991-200, 10.5, 31887257-31787016, Not Set, 214.24, Shipped To StockX, Fri 31 Dec 2021 - 04:07:42 PM
Jordan 1 Low Mocha, DC6991-200, 12, 31887615-31787374, Not Set, 226.78, Shipped To StockX, Fri 31 Dec 2021 - 04:07:43 PM
Jordan 1 Low Bred Toe (GS), 553560-612, 6.5Y, 31967493-31867252, Not Set, 137.14, Order Confirmed, Fri 31 Dec 2021 - 04:23:12 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6Y, 31968756-31868515, Not Set, 106.14, Order Confirmed, Fri 31 Dec 2021 - 05:04:34 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 7Y, 31968791-31868550, Not Set, 108.14, Order Confirmed, Fri 31 Dec 2021 - 05:05:46 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6.5Y, 31946431-31846190, Not Set, 109.14, Shipped To StockX, Fri 31 Dec 2021 - 05:10:04 PM
Nike Dunk Low Championship Goldenrod (2021), DD1391-004, 12, 31482584-31382343, Not Set, 176.20, Verified & Shipped, Fri 31 Dec 2021 - 05:31:10 PM
adidas Yeezy Slide Pure (Restock Pair), GW1934, 6, 31960052-31859811, Not Set, 205.88, Shipped To StockX, Fri 31 Dec 2021 - 05:34:35 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 6Y, 31969829-31869588, Not Set, 106.14, Order Confirmed, Fri 31 Dec 2021 - 05:39:39 PM
Jordan 1 Low SE Dark Beetroot Roma Green (GS), DM0589-635, 5.5Y, 31946439-31846198, Not Set, 108.14, Shipped To StockX, Fri 31 Dec 2021 - 05:40:13 PM
